MutationType	InD1	InD2a	InD2b	InD3a	InD3b	InD4a	InD4b	InD4c	InD4d	InD6	InD7	InD8	InD9	InD9a	InD9b	InD9c	InD11	InD12	InD13	InD14	InD15	InD16a	InD16b	InD17	InD18	InD19	InD20	InD21	InD23	InD24	InD26	InD29	InD30	InD31	InD32	InD33
A[Ins(C):R0]A	0.002850688	0.004362029	0.000766026	9.44011e-06	0.014057997	0.001045791	6.97224e-05	0.000664807	2.57e-05	0.000748286	2.87e-208	0.002153139	0.002879089	0.001368176	0.000322063	0.002146159	5.29e-14	0.216794923	0.004518954	0.009138677	0.024623	0.000118268	0.000131508	0.000493583	3.31e-07	0.000886968	0.0245937	0.000521817	1.98556e-06	0.0004875	0.000190881	0.005588722	0.0	0.00073999	0.002321981	0.000932907
A[Ins(C):R0]T	0.00042451	0.001877613	4.64533e-05	0.000291948	0.005464105	0.000237624	1.01e-203	1.48e-05	3.45e-05	0.000531903	0.0	0.001304737	0.000743965	0.002610078	0.000104367	0.001007945	4.15e-25	0.124207717	0.000515723	0.001365166	8.46775e-05	3.02181e-05	0.000129343	0.000246792	6.98e-15	1.87e-51	0.001018379	5.91615e-05	6.6743e-05	1.48e-20	3.11e-43	0.000844835	0.0	5.15e-07	0.0	0.0
Ins(C):R(0,3)	0.009130554	0.001938703	0.006783305	0.016148851	0.025129405	0.011627113	0.008225773	0.003211008	0.007635094	0.000167089	0.002389912	0.011617025	0.014641678	0.029209879	0.018536266	0.009515838	0.021769816	0.051641169	0.025424016	0.007927459	0.006253817	0.000570681	0.001186554	0.052813425	0.007949605	0.011767842	0.005562324	0.00434966	0.039005208	0.038992677	0.028863001	0.020994643	0.248007501	0.03136888	0.006965944	0.012067153
Ins(C):R(4,6)	0.014527546	0.005003123	0.003945163	0.009581146	0.010825145	0.00397063	0.000296556	5.79e-05	0.003239247	0.000224466	0.009000834	0.000564246	0.001780925	0.001057721	0.001020154	7.79128e-05	0.020243656	0.002072868	0.005155342	0.021236117	0.007191025	0.005945966	0.014993019	0.004195459	0.000195944	0.025662703	0.003166785	0.014096355	0.003744394	0.004249374	0.292794232	0.004180311	0.60665729	0.005714434	0.004643963	0.050223133
Ins(C):R(7,9)	0.032920536	0.003078533	0.010950807	0.000839554	0.001338562	0.003341691	0.000754172	7.11e-05	0.000370064	8.25e-05	0.0094655	0.001406673	0.002216765	0.001282523	0.001941291	3.2337e-05	0.009480203	0.003404862	0.002662439	0.00565797	0.000255917	0.005275322	0.007456927	0.001974334	0.000439365	0.028476403	2.25e-51	0.015389861	0.002169572	0.002601483	0.026539942	0.001953269	0.001875293	0.004042586	0.006965944	0.045369697
A[Ins(T):R(0,4)]A	0.01352334	0.003612593	0.003941848	0.003658471	0.011482205	0.006317233	0.007922887	0.003706099	0.020881667	0.00021001	0.001290202	0.006272036	0.005548258	0.010899026	0.017853877	0.006653288	0.021907142	0.041784021	0.020774511	0.027587483	0.010858997	0.001520713	0.005900059	0.02023692	0.007993365	0.00898451	0.015584639	0.004646671	0.026901045	0.002645099	0.008564095	0.021913793	0.00140647	0.013271726	0.01006192	0.005005416
A[Ins(T):R(0,4)]C	0.005338144	0.000764698	0.00135685	0.001503708	0.005897862	0.003741301	0.001694874	0.001633359	0.000547793	0.001260597	0.001242795	0.000745443	0.009626047	0.014197402	0.004812915	0.003151197	0.011386405	0.00447794	0.013098435	0.023652717	0.004616805	0.001021657	0.004246594	0.002221125	0.007551224	0.002570987	0.005128795	0.002679415	0.008622217	0.002420384	0.002463536	0.008562621	0.00140647	0.003580546	0.004643963	0.007098559
A[Ins(T):R(0,4)]G	0.003996574	0.001619979	0.00042303	0.023442612	0.057550123	0.000746423	0.004417937	0.001967485	0.000900331	0.000983257	0.002235253	0.002688636	0.004397992	0.008589693	0.007631932	0.003920717	0.013311988	0.00693611	0.004396047	0.044873921	0.010629176	0.001664587	0.007256236	0.007897335	0.003409012	0.008148019	0.014549657	0.006859973	0.009875155	0.015208193	0.003148349	0.011779044	0.000937647	0.004467436	0.013931889	0.005473871
C[Ins(T):R(0,4)]A	0.003329743	5.67e-06	0.002121695	0.001393452	0.008432163	0.002882621	0.012299144	0.004883187	0.006878212	3.62e-05	0.001017434	0.001355216	0.00486289	0.009195194	0.008357847	0.000996536	0.014677064	0.001399593	0.008587458	0.006513384	0.015818843	0.001793057	0.007612562	0.019002962	0.001497202	0.003389274	0.019107606	0.001164023	0.009795814	0.005081368	0.004357975	0.010317968	0.000937647	0.022827454	0.002321981	0.00303073
C[Ins(T):R(0,4)]C	0.002130562	1.44e-06	0.005979022	0.002603289	0.005938809	0.00322618	0.00016406	0.000410624	0.00543256	0.000493956	0.00210602	0.000320685	0.01529078	0.014788123	0.004733998	0.000370969	0.014236409	0.002914065	0.024328132	0.011030095	0.018163205	0.001917841	0.008671226	0.004195459	0.000507454	0.005827772	0.014825132	0.00295608	0.002783474	0.002053515	0.00246303	0.0147835	0.000468823	0.001954523	0.003095975	0.009883567
